R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
643,43.85602,18.29929,Regionalna cesta,01.10.2022.,18:45:00,Kiša,Noć,Mokar,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
644,43.83013,18.31171,Lokalna cesta,02.10.2022.,18:20:00,Oblačno,Noć,Suh,0,2,0,Sudar vozila i motocikla,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,2.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,Motocikl,,,,,,
645,43.83031,18.30531,Lokalna cesta,16.10.2022.,20:20:00,Vedro,Noć,Suh,0,0,0,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Ne,Da,0,0,0,0,2.0,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skretanje van kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,Ostalo,
646,43.83367,18.27428,Regionalna cesta,17.10.2022.,14:15:00,Vedro,Dan,Suh,0,1,0,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
647,43.86682,18.2858,Regionalna cesta,29.10.2022.,13:46:00,Vedro,Dan,Suh,0,0,7,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,7,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
648,43.83165,18.32468,Lokalna cesta,05.11.2022.,11:10:00,Kiša,Dan,Mokar,0,1,0,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
649,43.81045,18.31045,Lokalna cesta,05.11.2022.,13:30:00,Kiša,Dan,Mokar,0,1,0,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,LTV,,,,,
650,43.83228,18.30636,Magistralna cesta,17.11.2022.,15:05:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,Motocikl,,,,,,
651,43.7959,18.32068,Regionalna cesta,21.11.2022.,12:20:00,Oblačno,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pad u vozilu JGP,Pad u vozilu JGP,PA,,,,,,,,,,
652,43.83189,18.30809,Lokalna cesta,24.11.2022.,08:40:00,Oblačno,Dan,Suh,0,1,0,Bočni udar tramvaja sa pješakom,Urbano,Dvosmjerna cesta,Pravac,Ne,Kružni tok,Pješački prelaz,Ne,Da,0,0,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,,,,,,,,,,,
653,43.82217,18.30698,Lokalna cesta,30.11.2022.,11:50:00,Kiša,Dan,Mokar,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
654,43.83206,18.32354,Lokalna cesta,26.12.2022.,15:10:00,Oblačno,Dan,Suh,0,0,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,0,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
655,43.84811,18.3134,Regionalna cesta,06.01.2023.,18:20:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
656,43.83043,18.2734,Magistralna cesta,08.01.2023.,12:20:00,Vedro,Dan,Suh,0,0,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,0,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
657,43.8303,18.30528,Lokalna cesta,14.01.2023.,17:45:00,Oblačno,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
658,43.82223,18.30697,Lokalna cesta,18.01.2023.,18:30:00,Kiša,Noć,Mokar,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
659,43.83484,18.31262,Lokalna cesta,23.01.2023.,22:30:00,Oblačno,Noć,Suh,0,1,0,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
660,43.81417,18.31123,Lokalna cesta,29.01.2023.,20:30:00,Oblačno,Noć,Suh,0,1,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
661,43.83062,18.31115,Lokalna cesta,22.02.2023.,14:25:00,Vedro,Dan,Suh,0,1,1,Sudar vozila i motocikla,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,Motocikl,,,,,,
662,43.8234,18.31849,Lokalna cesta,26.02.2023.,19:15:00,Sa snijegom,Noć,Mokar,0,1,0,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
663,43.83241,18.32125,Lokalna cesta,28.02.2023.,00:20:00,Sa snijegom,Noć,Mokar,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
664,43.84857,18.24739,Lokalna cesta,06.03.2023.,07:30:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
665,43.8294,18.31302,Lokalna cesta,08.03.2023.,20:00:00,Vedro,Noć,Suh,0,1,0,Sudar prilikom preticanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,4.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
666,43.84857,18.13311,Lokalna cesta,13.03.2023.,12:40:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
667,43.82416,18.31995,Lokalna cesta,27.03.2023.,22:00:00,Kiša,Noć,Mokar,0,1,0,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
668,43.83598,18.29903,Lokalna cesta,08.04.2023.,19:00:00,Vedro,Noć,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar vozila u objekat,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
669,43.84511,18.32634,Regionalna cesta,09.04.2023.,21:40:00,Vedro,Noć,Suh,0,2,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,3,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skretanje van kolovoza i udar u objekat,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
670,43.83175,18.30924,Lokalna cesta,11.04.2023.,18:00:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom preticanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
671,43.84587,18.32723,Regionalna cesta,17.04.2023.,18:00:00,Kiša,Dan,Mokar,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
672,43.83224,18.30446,Magistralna cesta,18.04.2023.,12:30:00,Kiša,Dan,Mokar,0,1,0,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
673,43.83401,18.31217,Lokalna cesta,20.04.2023.,15:10:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
674,43.83409,18.31987,Lokalna cesta,26.04.2023.,22:05:00,Vedro,Noć,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
675,43.85581,18.29933,Regionalna cesta,27.04.2023.,14:15:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,LTV,,,,,
676,43.84699,18.31546,Regionalna cesta,29.04.2023.,17:20:00,Vedro,Dan,Suh,0,2,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
677,43.86133,18.25009,Lokalna cesta,01.05.2023.,16:00:00,Vedro,Dan,Suh,0,0,0,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,0,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Skretanje van kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
678,43.82949,18.3155,Lokalna cesta,03.05.2023.,10:53:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
679,43.85584,18.29914,Regionalna cesta,09.05.2023.,22:00:00,Vedro,Noć,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
680,43.82551,18.31451,Lokalna cesta,11.05.2023.,00:35:00,Oblačno,Noć,Mokar,0,1,0,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
681,43.83374,18.31204,Lokalna cesta,11.05.2023.,09:45:00,Kiša,Dan,Mokar,0,2,0,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
682,43.85747,18.25439,Lokalna cesta,11.05.2023.,15:20:00,Kiša,Dan,Mokar,0,1,0,Udar u pješaka,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
683,43.82161,18.30734,Lokalna cesta,15.05.2023.,21:00:00,Kiša,Noć,Mokar,0,2,0,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skretanje van kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
684,43.75388,18.34255,Regionalna cesta,20.05.2023.,15:30:00,Vedro,Dan,Suh,0,0,0,Sudar prilikom preticanja,Ruralno,Dvosmjerna cesta,Krivina,Da,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,0,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Sudar vozila,Sudar,PA,,,,,,,,,,
685,43.82957,18.30378,Lokalna cesta,01.07.2023.,13:30:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
686,43.8296,18.31468,Lokalna cesta,11.07.2023.,18:50:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
687,43.82002,18.3107,Lokalna cesta,31.07.2023.,20:40:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
688,43.83259,18.30851,Lokalna cesta,07.08.2023.,11:30:00,Vedro,Dan,Suh,0,2,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Ne,Da,0,0,2,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
689,43.84562,18.27798,Regionalna cesta,07.08.2023.,18:30:00,Vedro,Dan,Suh,0,1,2,Udar u pješaka,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,3,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
690,43.82614,18.30827,Lokalna cesta,10.08.2023.,18:10:00,Vedro,Dan,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
691,43.83906,18.27663,Regionalna cesta,14.08.2023.,08:30:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom obilaženja,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
692,43.85947,18.29421,Regionalna cesta,14.08.2023.,18:05:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
693,43.86344,18.25071,Lokalna cesta,31.08.2023.,17:35:00,Vedro,Dan,Suh,0,1,0,Izlijetanje izvan kolovoza,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
694,43.8315,18.30779,Lokalna cesta,02.09.2023.,22:05:00,Vedro,Noć,Suh,0,1,0,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
695,43.83348,18.31283,Lokalna cesta,09.09.2023.,21:00:00,Vedro,Noć,Suh,0,1,0,Sudar vozila i bicikla,Urbano,Dvosmjerna cesta,Pravac,Ne,Trokraka raskrsnica,Pješački prelaz,Ne,Da,0,0,1,0,1.0,,1.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,Romobil,,,,,,,,
696,43.84506,18.27766,Regionalna cesta,10.09.2023.,18:38:00,Vedro,Dan,Suh,0,2,0,Sudar prilikom preticanja,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
697,43.85584,18.29927,Regionalna cesta,16.09.2023.,14:10:00,Vedro,Dan,Suh,0,2,0,Sudar vozila i motocikla,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skretanje van kolovoza,Izlijetanje izvan kolovoza,PA,,,,Motocikl,,,,,,
698,43.84789,18.34109,Magistralna cesta,19.09.2023.,09:35:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
699,43.82789,18.32589,Magistralna cesta,26.09.2023.,14:30:00,Vedro,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pad u vozilu JKP-a,Pad u vozilu JKP,PA,,,,,LTV,,,,,
700,43.8316,18.303,Regionalna cesta,27.10.2023.,18:15:00,Vedro,Noć,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudar vozila,Sudar,PA,,,,,,,,,,
701,43.82168,18.30702,Lokalna cesta,20.11.2023.,08:40:00,Oblačno,Dan,Suh,0,1,0,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
702,43.8239,18.31951,Lokalna cesta,26.11.2023.,14:30:00,Vedro,Dan,Suh,0,1,0,Sudar prilikom preticanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udar i obaranje pješaka,Udar u pješaka,PA,,,,,,,,,,
